,User ID,Dataset
0,179562837,Traditional_Spambots_3
1,179295032,Traditional_Spambots_3
2,325403988,Traditional_Spambots_3
3,3298943021,Traditional_Spambots_3
4,3305460917,Traditional_Spambots_3
5,117014468,Traditional_Spambots_3
6,101647448,Traditional_Spambots_3
7,184667668,Traditional_Spambots_3
8,449565496,Traditional_Spambots_3
9,3078705434,Traditional_Spambots_3
10,253826054,Traditional_Spambots_3
11,22256645,Traditional_Spambots_3
12,962735887,Traditional_Spambots_3
13,240564823,Traditional_Spambots_3
14,156922624,Traditional_Spambots_3
15,3071340081,Traditional_Spambots_3
16,15006539,Traditional_Spambots_3
17,3307816547,Traditional_Spambots_3
18,15488734,Traditional_Spambots_3
19,3231291522,Traditional_Spambots_3
20,3229520827,Traditional_Spambots_3
21,3229551091,Traditional_Spambots_3
22,3302530024,Traditional_Spambots_3
23,3234328321,Traditional_Spambots_3
24,3303491711,Traditional_Spambots_3
25,3230450912,Traditional_Spambots_3
26,3229437498,Traditional_Spambots_3
27,3227913542,Traditional_Spambots_3
28,3229449756,Traditional_Spambots_3
29,3302446791,Traditional_Spambots_3
30,3303438987,Traditional_Spambots_3
31,3055225969,Traditional_Spambots_3
32,3069252070,Traditional_Spambots_3
33,3308945967,Traditional_Spambots_3
34,3305488912,Traditional_Spambots_3
35,3231344078,Traditional_Spambots_3
36,3230502553,Traditional_Spambots_3
37,3227904608,Traditional_Spambots_3
38,3078501312,Traditional_Spambots_3
39,55885962,Traditional_Spambots_3
40,15947185,Traditional_Spambots_3
41,3302525926,Traditional_Spambots_3
42,2904943402,Traditional_Spambots_3
43,2786905275,Traditional_Spambots_3
44,3167997842,Traditional_Spambots_3
45,2700434262,Traditional_Spambots_3
46,2814045171,Traditional_Spambots_3
47,2881189474,Traditional_Spambots_3
48,2645498262,Traditional_Spambots_3
49,2580232604,Traditional_Spambots_3
50,2765930521,Traditional_Spambots_3
51,3168049609,Traditional_Spambots_3
52,2653550431,Traditional_Spambots_3
53,2882469599,Traditional_Spambots_3
54,2787057239,Traditional_Spambots_3
55,3167889313,Traditional_Spambots_3
56,2962143094,Traditional_Spambots_3
57,2579189827,Traditional_Spambots_3
58,2815669702,Traditional_Spambots_3
59,2813711127,Traditional_Spambots_3
60,3168028789,Traditional_Spambots_3
61,2786187363,Traditional_Spambots_3
62,2998442525,Traditional_Spambots_3
63,2786984488,Traditional_Spambots_3
64,3003254500,Traditional_Spambots_3
65,2780220912,Traditional_Spambots_3
66,2996100754,Traditional_Spambots_3
67,3167942682,Traditional_Spambots_3
68,2814889709,Traditional_Spambots_3
69,2813980792,Traditional_Spambots_3
70,2841113793,Traditional_Spambots_3
71,2815414113,Traditional_Spambots_3
72,2580598800,Traditional_Spambots_3
73,2935177511,Traditional_Spambots_3
74,2583784759,Traditional_Spambots_3
75,2815449801,Traditional_Spambots_3
76,2580592596,Traditional_Spambots_3
77,3157295381,Traditional_Spambots_3
78,2579211932,Traditional_Spambots_3
79,2815456775,Traditional_Spambots_3
80,2797902284,Traditional_Spambots_3
81,2765943260,Traditional_Spambots_3
82,2786138968,Traditional_Spambots_3
83,2580213452,Traditional_Spambots_3
84,3168041312,Traditional_Spambots_3
